name_native	alt_names
濕炒牛河	saucy beef chow ho fun, 豉椒牛河, 菜遠牛河, beef chow fun with gravy, beef and black bean chow fun
灌肠虾球	
火燎鸭心	
火爆川椒鸭舌	
火爆腰花	
火腿炒蛋	
火龙燕液翅	
炒大蛤	
炒小卷	
炒山瓜仔	
炒羊肚	
炒蟹	
炖大棒骨	
炸八块鸡	
炸炒脆鹿柳	
炸肉茄合	
炸芝麻鸭肝全蝎	
炸花生米	
炸鸡肝	
烤全羊	
烤羊腿	
烤羊里脊	
烤羔羊	
烤鲶鱼	
烤鸡	
烧椒皮蛋	
烧汁烩南野山菌	
烧汁香煎鸽脯	
烧鸡肉串	
烧鸭酥	
烩滑籽菇	
烩蒜香肚丝	
烩鸭四宝	
焗肉排	
煮壳花生	
煮鸡蛋	
煎烹虾仁	
煎猪柳	
煎蛋	
煎银鳕鱼	
煎鲳鱼	
熏三文鱼	
熏鱼	熏魚, xun yu
熏鸡	
燕窝鸽蛋	
爆炒双脆	
爆炒牛肋骨	
爆炒鳝鱼丝	
爽口白菜丝	
爽口碧绿百叶	
爽口西芹	
牛肉丸	
牛肉炖土豆	
牛腩煲	
牡丹珠圆鸡	
特色牛蹄	
猪肉炖粉条	
猴头菇扒鱼唇	
玉米煲排骨	
珊瑚笋尖	
珍菌滑炒肉	
琥珀核桃	
琥珀花生	
瑶柱鸡丝烩生翅	
瓦窑鸡	
甜酸鸡	
甜酸鸡腿肉	
生炒乳鸽松	
生炒鸭松	
生煎包	
生腌百合南瓜	
甲鱼（淮杞炖/清炖/干锅/泡 饼）	
甲鱼烧肉	
番茄炖牛腩	
白切鸡	白切雞, bai qie ji
白切鸡	
白扒鱼翅	
白扒鱼肚	
白椒炒鸡胗	
白汁拆烩鲢鱼头	
白汁炒鱼唇	
白汁烧裙边	
白汁煎封银鳕鱼	
白灵菇扒鲍片	
白灵菇扣裙边	
白灵菇扣鸭掌	
白灵菇牛柳	
白灵菇韭黄炒鳕鱼球	
白灵菇鸡片	
白灼生中虾	
白灼肥牛	
白灼花枝片	
白灼虾	
白玉蒸扇贝	
白菌炒蛋	
白菜心拌蜇头	
白菜豆腐焖酥肉	
百叶红烧肉	
百合虾球	
百花酿蟹钳	
百花酿辽参	
百花酿露笋	
百花酿鲍片	
百花鲍鱼卷	
皇宫煎鹿柳	
皮蛋瘦肉粥	皮蛋瘦肉粥
皮蛋豆腐	
盆盆肉	
盐水虾肉	
盐水鸭肝	
盐水鹅肉	
盐烤荷叶鸭	
盐焗鸡	
盐煎肉	
石烹肥牛	
砂锅三菌	
砂锅排骨土豆	
砂锅海带炖排骨	
砂锅滑鸡	
砂锅炒翅	
砂锅肚丝翅	
砂锅菇丝翅	
砂锅裙边翅	
砂锅鸡煲翅	
碧绿氽牛蛙	
碧绿原汁鲍鱼	
碧绿叉烧肥肠	
碧绿干烧澳带	
碧绿椒麻鱼肚	
碧绿香肘扣鲍片	
碧绿鲍片	
碧绿鲜带子	
碳烧排骨	
碳烧菠萝骨	
竹笋青豆	
竹笙笋鸡丝翅	
竹筒腊肉	
笋干焖腩肉	
符离集烧鸡	
笼仔剁椒牛蛙	
米粉扣肉	
米粉排骨	
米粉牛肉	
米粉肉	
米酱炒蛏肉	
米醋海蜇	
粒香富贵蟹	
粥	zhou, rice porridge
糊辣仔鸡	
糊辣基围虾	
糖拌西红柿	
糖蒜	
糖醋小排	
糖醋排骨	
糖醋白菜墩	
糖醋里脊	
糖醋鸡块	
糟溜鸭三白	
糟蛋	
糟香毛豆	
糟香鹅掌	
素鸭	
红心鸭卷	
红扒肘子	
红扒鱼翅	
红曲鸭膀	
红梅蟹粉炒桂花翅	
红汤丸子	
红油牛头	
红油牛筋	
红油百叶	
红油肚丝	
红油鱼肚	
红烧乌参	
红烧南非鲍	
红烧大鲍翅	
红烧家兔	
红烧小黄鱼豆腐	
红烧带鱼	
红烧排翅	
红烧散翅	
红烧牛头扣辽参	
红烧牛蹄筋	
红烧狮子头	
红烧甲鱼	
红烧白灵菇	
红烧石斑(桂鱼/左口鱼/鲈鱼/加 吉鱼/鳟鱼)	
红烧石歧项鸽	
红烧羊肉	
红烧肉	紅燒肉, hong sau ruo, hóngshāoròu
红烧蹄筋	
红烧长江鲥鱼	
红烧鲍片	
红烧鲍翅燕	
红烧鲍鱼	
红烧鸡丝翅	
红烧鹿肉	
红焖羊排	
红焖羊肉	
红花汁烩海鲜	
红花蟹（潮式冻蟹/清蒸/姜葱 炒）	
红酒烩牛尾	
红酒烩鸽脯	
红鲟米糕	
纸包风味羊排	
纸包鸡	
罐焖牛肉	
罐焖裙边	
罐焖鸭丝鱼翅	
罗定豆豉鸡	
罗汉扒大鸭	
罗汉肚	
罗汉鸭	
羊四宝	
羊宝	
羊腰	
羊蝎子	
美味牛筋	
美国红腰豆扣鲍片	
美极掌中宝	
美极葱香鸡脆骨	
羔蟹（花雕酒蒸/姜葱炒/椒盐）	
翅汤浸什菌	
翅汤青瓜虾球	
翡翠虾仁	
翡翠虾球	
翡翠金银玉带	
翡翠鲍脯麒麟鸡	
老北京豆酱	
老店烧鸭	
老醋泡花生	
老醋花生米	
老醋蛰头	
老醋黑木耳	
肉末辽参	
胡萝卜炖牛肉	
脆炸桂鱼	
脆皮三丝卷	
脆皮乳猪	
脆皮乳鸽	
脆皮全鱼	
脆皮鸡	
脆皮鸳鸯鸭	
脆虾白菜心	
腊八蒜茼蒿	
腊八豆炒腊肉	
腊肉炒香干	
腊肉炒香芹	
腊肉红菜苔	
